smiles,PUBCHEM_ACTIVITY_OUTCOME,dataset
CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl,0,2
CN1CCC(CC1)N(C)CC(COC2=CC=CC=C2)O.C(=O)(C(=O)O)O,0,2
C1=CC=C(C=C1)C2=CC(=NC(=N2)SCC(=O)O)C(F)(F)F,0,2
CC1=CSC(=N1)SCC(=O)NC2=CC(=C(C=C2)OC)S(=O)(=O)N,0,2
C(CO)N(CCO)C(CO)(CO)CO,0,2
COC1=C(C=C(C=C1)/C=C(\\C(=O)NC2=CC=C(C=C2)C(=O)OC)/NC(=O)C3=CC=C(C=C3)Cl)OC,1,2
CCN(CC)CCC#CC(C1=CC=CC=C1)(C2=CC=CC=C2)OC.Cl,0,2
CC1=CC=C(C=C1)C2=NOC(=N2)CN(C(C)C)C(=O)CCN3C(=O)C4=CC=CC=C4C3=O,1,2
C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])SCC(CO)O,0,2
COC1=CC(=CC(=C1OC)OC)NC2=C3C(=NC(=N2)NC4=CC=NC=C4)N(C=N3)C5CCCCC5,1,2
CC1CC(=CC(C1CNCCN2CCNCC2)C)C,1,2
C1=CC(=C(C=C1NCCNCCO)N)[N+](=O)[O-],0,2
C1=C(C=C(C=C1C(=O)NCCO)C(=O)NCCO)C(=O)NCCO,0,2
CCOC(=O)CC(=O)CSC1=C(C=CC(=N1)C2=CC=CS2)C#N,0,2
C1C(C=CC=C1C(=O)O)N.Cl,0,2
CCN(C1=CC=C(C=C1)C(C(=O)OC)(C(F)(F)F)O)C(=O)OC(C)C,0,2
CC(=O)C1=CC=CC=C1OCC(CN2CCN(CC2)C3=CC=CC=C3OC)O.Cl.Cl,0,2
COCCCNC(=O)/C(=C/C1=CC(=C(C=C1)OCC(=O)O)OC)/C#N,0,2
C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)OC(=O)C3=CC4=CC=CC=C4OC3=O,1,2
CC(C)OCCCNC(=O)C(C)N(C1=CC=C(C=C1)Cl)S(=O)(=O)C,0,2
CCCCC[C@@H](/C=C/C=C\\C=C\\C=C\\[C@@H]([C@H](CCCC(=O)O)O)O)O,0,2
CCOC1=CC=C(C=C1)N(CC(=O)O)S(=O)(=O)C2=CC=C(C=C2)F,0,2
C1=CC=C(C=C1)CN2C=[N+](C=N2)CC3=CC=CC=C3.[Cl-],0,2
C1=CC(=CC=C1C(CN)(CS(=O)(=O)O)O)Cl,0,2
C1=CC(=CC=C1CCNC(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-])S(=O)(=O)N,0,2
CNC1=NC(=NC=C1F)Cl,0,2
CN(/N=C/C1=C(C=CC(=C1)Cl)O)CCN(/N=C/C2=C(C=CC(=C2)Cl)O)C,0,2
COC1=CC=CC(=C1)N2C(=NC3=CC=CC=C3C2=O)CCN4C(=O)C5=CC=CC=C5C4=O,1,2
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)O)[N+](=O)[O-],0,10
COC1=C(C=C(C=C1)NC(=O)COC2=CC=C(C=C2)Cl)NC(=O)C3=CC=CO3,1,2
CC1=C(OC2=C1C3=C(C=C2)OC(CC3=O)(C)C)C(=O)NC4=CC(=CC=C4)OC,0,10
C1=CC=C2C(=C1)C=NN=C2N3C(=C(C(=N3)CC#N)C#N)N,0,2
C1=CC=C(C(=C1)C(C(C(=O)O)N)O)[N+](=O)[O-],0,2
CC(C)(C)C1=CC=C(C=C1)OCC(C[N+]2(CCOCC2)C)O.[I-],0,2
COCCNC(=O)CSC1=NC2=CC3=C(C=C2C(=O)N1CCCCCC(=O)NCC4=CC5=C(C=C4)OCO5)OCO3,0,2
CCOC(=O)CCCNC(=O)COC(=O)C1=C(C=C(C=C1)Cl)N,0,2
CC1=C(C(C(=O)N1)(C(F)(F)F)NS(=O)(=O)C2=CC=C(C=C2)OC)C#N,0,2
CC(C)CNC(=O)COC1=CC=CC(=C1)OC,0,2
C1C(OC2=CC=CC=C2O1)C(=O)OCC#N,0,2
C1(=C(NN=C1C(=O)O)C(=O)O)[N+](=O)[O-],0,2
C1CC(OC1)C(=O)NC2=CC3=C(CCN(C3)C(=O)CN4C5=CC=CC=C5OC4=O)C=C2,1,2
CCOC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,0,2
C1COCCN1CCCN2C(/C(=C(\\C3=CC=C(C=C3)Br)/O)/C(=O)C2=O)C4=CN=CC=C4,1,2
CCOCCCNC(C)C1=CC=NC=C1,0,2
COC1=CC(=CC(=C1OC)OC)NC2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4,1,2
CCCOC1=CC=C(C=C1)OCCCNC(C)CC.C(=O)(C(=O)O)O,0,2
CCOC(=O)C(=CNNC1=CC=CC=C1C(=O)O)C(=O)OCC,0,2
C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,0,2
CC1=NC2=CC=CC=C2C(=C1)C(=O)NC3=CC(=C(C=C3)OC)S(=O)(=O)N4CCCCC4,1,2
CC1=NN=C(N1N)SCC2=CC=C(O2)C(=O)OC,0,2
CC(C(=O)O/N=C(/C1=CC=NC=C1)\\N)OC2=CC=C(C=C2)OC,0,2
COC1=C(C=CC(=C1)N)C(=O)OC,0,2
C1=NC2=C(N1)C(=O)NC(=N2)NC(CCC(=O)O)C(=O)O,0,2
C1CCN(C1)C(=O)C2CCCN(C2)CC3=CC=CC=C3Br.C(=O)(C(=O)O)O,0,2
CC(C)(C)OC(=O)NC(C(F)(F)F)C(F)(F)F,0,2
CC(C)N1C=NC2=C(N=C(N=C21)NCCN3CCOCC3)NCCO,0,2
CC1=[N+](C2=C(C1(C)C)C=C(C=C2)Br)C.[O-]Cl(=O)(=O)=O,0,2
C1CN2C[C@@H]([C@H]([C@@H]([C@H]2[C@H]1O)O)O)O,0,2
C1=CC(=CC=C1N)OCC(=O)O,0,2
CC1=CC=CC=C1CN2CCN(C2=O)CC(=O)NCCOC,0,2
C1=CC=C(C(=C1)CN2C(=O)C=CN(C2=O)C[C@@H](C(=O)O)N)C(=O)O,0,2
COC1=C(C=CC(=C1)CC=C)OCC(CN2CCN(CC2)CC3=CC=CC=C3)O.Cl.Cl,0,2
CCC1=C(C(=S)NC(=C1C#N)N)C#N,0,2
C(CC(=O)NCCO)CC(=O)NCCO,0,2
COC1=CC=C(C=C1)NC(=O)COC2=C(C=C(C=C2)CNCCCN3CCOCC3)OC.Cl.Cl,0,2
CC1=CC(=CC=C1)C(=O)OCC(=O)NCC(=O)OC,0,2
CC1=CC(=C(C=C1)C)S(=O)(=O)NC(C)C(=O)NC2=CC(=C(C=C2)Cl)Cl,1,2
CC1=C(SC=C1)CNCC(=O)O,0,2
CCOC1=NC(=CC(=C1C#N)COC)C,0,2
COC(=O)N1C2CC(C1(C(F)(F)F)C(F)(F)F)C=C2,0,2
CCOC(=O)C1=CC=C(C=C1)COC(=O)CNC(=O)CNC(=O)CC2=CC=CC=C2,0,2
COCC1=C(N=NN1C2=NON=C2N)C(=O)NNC(=O)C3=CC=CC=C3F,0,2
CC1=C(C(=CC=C1)C)OCCOCC(CN2CCN(CC2)C)O.Cl.Cl,0,2
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,0,2
CC/C=C\\C/C=C\\C/C=C\\CCCCCCCCCC(=O)O,0,2
